距	㇑㇕㇐㇑㇐㇑㇀㇐㇕㇐㇗
视	㇔㇇㇑㇔㇑㇕㇓㇟
整	㇐㇑㇕㇐㇑㇓㇔㇓㇐㇓㇏㇐㇑㇐㇑㇐
流	㇔㇔㇀㇔㇐㇜㇔㇓㇑㇟
室	㇔㇔㇇㇐㇜㇔㇐㇑㇐
麻	㇔㇐㇓㇐㇑㇓㇔㇐㇑㇓㇏
烦	㇔㇓㇓㇔㇐㇓㇑㇕㇓㇔
由	㇑㇕㇐㇑㇐
于	㇐㇐㇚
静	㇐㇐㇑㇐㇑㇆㇐㇐㇓㇇㇕㇐㇐㇚
敏	㇓㇐㇗㇆㇔㇐㇔㇓㇐㇓㇏
烤	㇔㇓㇓㇔㇐㇑㇐㇓㇐㇉
鸭	㇑㇕㇐㇐㇑㇓㇆㇔㇉㇐
招	㇐㇚㇀㇆㇓㇑㇕㇐
网	㇑㇆㇓㇔㇓㇔
享	㇔㇐㇑㇕㇐㇇㇚㇐
续	㇜㇜㇀㇐㇑㇇㇔㇔㇐㇓㇔
匹	㇐㇓㇟㇗
积	㇓㇐㇑㇓㇔㇑㇕㇐㇓㇔
足	㇑㇕㇐㇑㇐㇓㇏
干	㇐㇐㇑
净	㇔㇀㇓㇇㇕㇐㇐㇚
效	㇔㇐㇓㇔㇓㇔㇓㇐㇓㇏
偏	㇓㇑㇔㇕㇐㇓㇑㇆㇐㇑㇑
漂	㇔㇔㇀㇐㇑㇕㇑㇑㇐㇐㇐㇚㇓㇔
唯	㇑㇕㇐㇓㇑㇔㇐㇐㇐㇑㇐
喝	㇑㇕㇐㇑㇕㇐㇐㇓㇆㇓㇔㇗
杯	㇐㇑㇓㇔㇐㇓㇑㇔
摸	㇐㇚㇀㇐㇑㇑㇑㇕㇐㇐㇐㇓㇏
印	㇓㇙㇐㇆㇑
估	㇓㇑㇐㇑㇑㇕㇐
计	㇔㇊㇐㇑
平	㇐㇔㇓㇐㇑
窗	㇔㇔㇇㇓㇔㇓㇑㇕㇓㇇㇔㇐
户	㇔㇕㇐㇓
忘	㇔㇐㇗㇔㇂㇔㇔
拍	㇐㇚㇀㇓㇑㇕㇐㇐
照	㇑㇕㇐㇐㇆㇓㇑㇕㇐㇔㇔㇔㇔
心	㇔㇂㇔㇔
闪	㇔㇑㇆㇓㇔
依	㇓㇑㇔㇐㇓㇙㇓㇏
取	㇐㇑㇑㇐㇐㇀㇇㇏
块	㇐㇑㇀㇕㇐㇓㇏
押	㇐㇚㇀㇑㇕㇐㇐㇑
金	㇓㇏㇐㇐㇑㇔㇓㇐
纸	㇜㇜㇀㇓㇙㇐㇂
抽	㇐㇚㇀㇑㇕㇐㇑㇐
异	㇕㇐㇟㇐㇓㇑
奇	㇐㇓㇔㇐㇑㇕㇐㇚
葩	㇐㇑㇑㇓㇑㇕㇐㇐㇕㇑㇐㇟
男	㇑㇕㇐㇑㇐㇆㇓
厕	㇐㇓㇑㇕㇓㇔㇑㇚
盆	㇓㇏㇆㇓㇑㇕㇑㇑㇐
玻	㇐㇐㇑㇀㇇㇓㇑㇇㇏
璃	㇐㇐㇑㇀㇔㇐㇓㇔㇗㇑㇑㇆㇜㇔
想	㇐㇑㇓㇔㇑㇕㇐㇐㇐㇔㇂㇔㇔
笑	㇓㇐㇔㇓㇐㇔㇓㇐㇓㇏
鸟	㇓㇆㇔㇉㇐
尤	㇐㇓㇟㇔
里	㇑㇕㇐㇐㇑㇐㇐
帮	㇐㇐㇐㇓㇡㇑㇑㇆㇑
忙	㇔㇔㇑㇔㇐㇗
租	㇓㇐㇑㇓㇔㇑㇕㇐㇐㇐
首	㇔㇓㇐㇓㇑㇕㇐㇐㇐
汽	㇔㇔㇀㇓㇐㇐㇈
洋	㇔㇔㇀㇔㇓㇐㇐㇐㇑
见	㇑㇕㇓㇟
更	㇐㇑㇕㇐㇐㇓㇏
烂	㇔㇓㇓㇔㇔㇓㇐㇐㇐
应	㇔㇐㇓㇔㇔㇓㇐
己	㇕㇐㇟
疯	㇔㇐㇓㇔㇀㇓㇈㇓㇔
才	㇐㇚㇓
型	㇐㇐㇓㇑㇑㇚㇐㇑㇐
枕	㇐㇑㇓㇔㇔㇇㇓㇟
陋	㇡㇑㇐㇑㇆㇓㇔㇗
食	㇓㇏㇔㇕㇐㇐㇙㇓㇔
段	㇓㇑㇐㇐㇀㇓㇅㇇㇏
著	㇐㇑㇑㇐㇑㇐㇓㇑㇕㇐㇐
名	㇓㇇㇔㇑㇕㇐
惜	㇔㇔㇑㇐㇑㇑㇐㇑㇕㇐㇐
啰	㇑㇕㇐㇑㇕㇑㇑㇐㇓㇇㇔
法	㇔㇔㇀㇐㇑㇐㇜㇔
荞	㇐㇑㇑㇓㇐㇓㇏㇓㇑
麦	㇐㇐㇑㇐㇓㇇㇏
先	㇓㇐㇑㇐㇓㇟
吐	㇑㇕㇐㇐㇑㇐
槽	㇐㇑㇓㇔㇐㇑㇕㇐㇑㇑㇐㇑㇕㇐㇐
士	㇐㇑㇐
倍	㇓㇑㇔㇐㇔㇓㇐㇑㇕㇐
塞	㇔㇔㇇㇐㇐㇑㇑㇐㇓㇏㇐㇑㇐
顺	㇓㇑㇑㇐㇓㇑㇕㇓㇔
畅	㇑㇕㇐㇐㇑㇡㇓㇓
懂	㇔㇔㇑㇐㇑㇑㇓㇐㇑㇕㇐㇐㇑㇐㇐
短	㇓㇐㇐㇓㇔㇐㇑㇕㇐㇔㇓㇐
翻	㇓㇔㇓㇐㇑㇓㇔㇑㇕㇐㇑㇐㇆㇔㇀㇆㇔㇀
回	㇑㇕㇑㇕㇐㇐
退	㇕㇐㇐㇙㇓㇔㇔㇋㇏
票	㇐㇑㇕㇑㇑㇐㇐㇐㇚㇓㇔
器	㇑㇕㇐㇑㇕㇐㇐㇓㇏㇔㇑㇕㇐㇑㇕㇐
分	㇓㇏㇆㇓
钟	㇓㇐㇐㇐㇙㇑㇕㇐㇑
致	㇐㇜㇔㇐㇑㇀㇓㇐㇓㇏
跑	㇑㇕㇐㇑㇐㇑㇀㇓㇆㇕㇐㇟
检	㇐㇑㇓㇔㇓㇏㇐㇔㇔㇓㇐
缺	㇓㇐㇐㇑㇗㇑㇕㇐㇓㇏
乏	㇓㇔㇇㇏
美	㇔㇓㇐㇐㇑㇐㇐㇓㇏
女	㇛㇓㇐
许	㇔㇊㇓㇐㇐㇑
作	㇓㇑㇓㇐㇑㇐㇐
繁	㇓㇐㇗㇆㇔㇐㇔㇓㇐㇓㇏㇜㇜㇔㇚㇓㇔
录	㇕㇐㇐㇚㇔㇀㇓㇏
息	㇓㇑㇕㇐㇐㇐㇔㇂㇔㇔
熟	㇔㇐㇑㇕㇐㇇㇚㇀㇓㇈㇔㇔㇔㇔㇔
悉	㇓㇔㇓㇐㇑㇓㇏㇔㇂㇔㇔
伦	㇓㇑㇓㇏㇓㇟
挑	㇐㇚㇀㇓㇔㇀㇟㇓㇔
貌	㇓㇔㇔㇓㇁㇓㇓㇓㇑㇕㇐㇐㇓㇟
似	㇓㇑㇙㇔㇓㇔
拉	㇐㇚㇀㇔㇐㇔㇓㇐
划	㇐㇂㇓㇔㇑㇚
长	㇓㇐㇙㇏
街	㇓㇓㇑㇐㇑㇐㇐㇑㇀㇐㇐㇚
沿	㇔㇔㇀㇓㇅㇑㇕㇐
弥	㇕㇐㇉㇓㇇㇚㇓㇔
补	㇔㇇㇑㇓㇔㇑㇔
铁	㇓㇐㇐㇐㇙㇓㇐㇐㇓㇏
利	㇓㇐㇑㇓㇔㇑㇚
率	㇔㇐㇜㇜㇔㇔㇀㇓㇔㇐㇑
求	㇐㇚㇔㇀㇓㇏㇔
历	㇐㇓㇆㇓
史	㇑㇕㇐㇓㇏
介	㇓㇏㇓㇑
绍	㇜㇜㇀㇆㇓㇑㇕㇐
刚	㇑㇆㇓㇔㇑㇚
垫	㇐㇚㇀㇓㇈㇔㇐㇑㇐
轩	㇐㇜㇑㇀㇐㇐㇑
菜	㇐㇑㇑㇓㇔㇔㇓㇐㇑㇓㇏
正	㇐㇑㇐㇑㇐
宗	㇔㇔㇇㇐㇐㇚㇓㇔
掉	㇐㇚㇀㇑㇐㇑㇕㇐㇐㇐㇑
半	㇔㇓㇐㇐㇑
瘾	㇔㇐㇓㇔㇀㇡㇑㇓㇇㇕㇐㇐㇔㇂㇔㇔
极	㇐㇑㇓㇔㇓㇋㇏
豪	㇔㇐㇑㇕㇐㇔㇇㇐㇓㇁㇓㇓㇓㇏
华	㇓㇑㇓㇟㇐㇑
带	㇐㇑㇑㇑㇔㇇㇑㇆㇑
孩	㇇㇚㇀㇔㇐㇜㇓㇓㇔
选	㇓㇐㇑㇐㇓㇟㇔㇋㇏
择	㇐㇚㇀㇇㇏㇐㇐㇑
米	㇔㇓㇐㇑㇓㇏
宽	㇔㇔㇇㇐㇑㇑㇑㇕㇓㇟
敞	㇑㇔㇓㇑㇆㇑㇕㇐㇓㇐㇓㇏
超	㇐㇑㇐㇑㇐㇓㇏㇆㇓㇑㇕㇐
号	㇑㇕㇐㇐㇉
哪	㇑㇕㇐㇆㇐㇐㇓㇡㇑
洁	㇔㇔㇀㇐㇑㇐㇑㇕㇐
向	㇓㇑㇆㇑㇕㇐
商	㇔㇐㇔㇓㇑㇆㇓㇔㇑㇕㇐
景	㇑㇕㇐㇐㇔㇐㇑㇕㇐㇚㇓㇔
允	㇜㇔㇓㇟
鸣	㇑㇕㇐㇓㇆㇔㇉㇐
笛	㇓㇐㇔㇓㇐㇔㇑㇕㇐㇑㇐
辆	㇐㇜㇑㇀㇐㇑㇆㇓㇔㇓㇔
驶	㇕㇉㇀㇑㇕㇐㇓㇏
夜	㇔㇐㇓㇑㇓㇇㇔㇏
保	㇓㇑㇑㇕㇐㇐㇑㇓㇏
险	㇡㇑㇓㇏㇐㇔㇔㇓㇐
箱	㇓㇐㇔㇓㇐㇔㇐㇑㇓㇔㇑㇕㇐㇐㇐
迷	㇔㇓㇐㇑㇓㇔㇔㇋㇏
冰	㇔㇀㇚㇇㇓㇏
凉	㇔㇀㇔㇐㇑㇕㇐㇚㇓㇔
衣	㇔㇐㇓㇙㇓㇏
绳	㇜㇜㇀㇑㇕㇐㇑㇕㇐㇐㇟
弱	㇕㇐㇉㇔㇀㇕㇐㇉㇔㇀
普	㇔㇓㇐㇑㇑㇔㇓㇐㇑㇕㇐㇐
帘	㇔㇔㇇㇓㇔㇑㇆㇑
龙	㇐㇓㇟㇓㇔
减	㇔㇀㇐㇓㇐㇑㇕㇐㇂㇓㇔
即	㇕㇐㇐㇙㇔㇆㇑
域	㇐㇑㇀㇐㇑㇕㇐㇀㇂㇓㇔
观	㇇㇔㇑㇕㇓㇟
世	㇐㇑㇑㇐㇗
界	㇑㇕㇐㇑㇐㇓㇏㇓㇑
赛	㇔㇔㇇㇐㇐㇑㇑㇐㇓㇏㇑㇕㇓㇔
事	㇐㇑㇕㇐㇕㇐㇐㇚
爽	㇐㇓㇔㇓㇔㇓㇔㇓㇔㇓㇏
壁	㇕㇐㇓㇑㇕㇐㇔㇐㇔㇓㇐㇐㇑㇐㇑㇐
哭	㇑㇕㇐㇑㇕㇐㇐㇓㇏㇔
闹	㇔㇑㇆㇔㇐㇑㇆㇑
听	㇑㇕㇐㇓㇓㇐㇑
清	㇔㇔㇀㇐㇐㇑㇐㇑㇆㇐㇐
楚	㇐㇑㇓㇔㇐㇑㇓㇔㇇㇑㇐㇓㇏
络	㇜㇜㇀㇓㇇㇏㇑㇕㇐
连	㇐㇜㇐㇑㇔㇋㇏
双	㇇㇔㇇㇏
拖	㇐㇚㇀㇓㇐㇆㇑㇟
鞋	㇐㇑㇑㇐㇑㇕㇐㇐㇑㇐㇑㇐㇐㇑㇐
及	㇓㇋㇏
剩	㇓㇐㇑㇑㇐㇀㇓㇟㇓㇔㇑㇚
账	㇑㇕㇓㇔㇓㇐㇙㇏
脸	㇓㇆㇐㇐㇓㇏㇐㇔㇔㇓㇐
娃	㇛㇓㇐㇐㇑㇐㇐㇑㇐
始	㇛㇓㇐㇜㇔㇑㇕㇐
吵	㇑㇕㇐㇑㇓㇔㇓
跟	㇑㇕㇐㇑㇐㇑㇀㇕㇐㇐㇙㇓㇏
潮	㇔㇔㇀㇐㇑㇑㇕㇐㇐㇐㇑㇓㇆㇐㇐
关	㇔㇓㇐㇐㇓㇏
系	㇓㇜㇜㇔㇚㇓㇔
贸	㇓㇙㇔㇆㇓㇑㇕㇓㇔
左	㇐㇓㇐㇑㇐
原	㇐㇓㇓㇑㇕㇐㇐㇚㇓㇔
健	㇓㇑㇕㇐㇐㇐㇐㇑㇋㇏
身	㇓㇑㇆㇐㇐㇐㇓
劣	㇑㇓㇔㇓㇆㇓
并	㇔㇓㇐㇐㇓㇑
存	㇐㇓㇑㇇㇚㇐
佳	㇓㇑㇐㇑㇐㇐㇑㇐
限	㇡㇑㇕㇐㇐㇙㇓㇏
落	㇐㇑㇑㇔㇔㇀㇓㇇㇏㇑㇕㇐
漆	㇔㇔㇀㇐㇑㇓㇔㇓㇏㇚㇔㇀㇓㇔
手	㇓㇐㇐㇚
示	㇐㇐㇚㇓㇔
代	㇓㇑㇐㇂㇔
维	㇜㇜㇀㇓㇑㇔㇐㇐㇐㇑㇐
护	㇐㇚㇀㇔㇕㇐㇓
充	㇔㇐㇜㇔㇓㇟
霉	㇐㇔㇇㇑㇔㇔㇔㇔㇓㇐㇗㇆㇔㇐㇔
司	㇆㇐㇑㇕㇐
远	㇐㇐㇓㇟㇔㇋㇏
际	㇡㇑㇐㇐㇚㇓㇔
协	㇐㇑㇆㇓㇔㇔
永	㇔㇆㇇㇓㇏
厦	㇐㇓㇐㇓㇑㇕㇐㇐㇐㇓㇇㇏
吊	㇑㇕㇐㇑㇆㇑
梨	㇓㇐㇑㇓㇔㇑㇚㇐㇑㇓㇏
汤	㇔㇔㇀㇡㇓㇓
处	㇓㇇㇏㇑㇔
板	㇐㇑㇓㇔㇓㇓㇇㇏
邦	㇐㇐㇐㇓㇡㇑
银	㇓㇐㇐㇐㇙㇕㇐㇐㇙㇓㇏
泰	㇐㇐㇐㇓㇏㇚㇔㇀㇓㇔
达	㇐㇓㇔㇔㇋㇏
故	㇐㇑㇑㇕㇐㇓㇐㇓㇏
宫	㇔㇔㇇㇑㇕㇐㇑㇕㇐
神	㇔㇇㇑㇔㇑㇕㇐㇐㇑
武	㇐㇐㇑㇐㇑㇀㇂㇔
传	㇓㇑㇐㇐ㄣ㇔
统	㇜㇜㇀㇔㇐㇜㇔㇓㇟
略	㇑㇕㇐㇑㇐㇓㇇㇏㇑㇕㇐
饮	㇓㇇㇙㇓㇇㇓㇏
记	㇔㇊㇕㇐㇟
相	㇐㇑㇓㇔㇑㇕㇐㇐㇐
同	㇑㇆㇐㇑㇕㇐
花	㇐㇑㇑㇓㇑㇓㇟
溅	㇔㇔㇀㇑㇕㇓㇔㇐㇐㇂㇓㇔
导	㇕㇐㇟㇐㇚㇔
谁	㇔㇊㇓㇑㇔㇐㇐㇐㇑㇐
赔	㇑㇕㇓㇔㇔㇐㇔㇓㇐㇑㇕㇐
偿	㇓㇑㇑㇔㇓㇔㇇㇐㇐㇜㇔
当	㇑㇔㇓㇕㇐㇐
急	㇓㇇㇕㇐㇐㇔㇂㇔㇔
千	㇓㇐㇑
椅	㇐㇑㇓㇔㇐㇓㇔㇐㇑㇕㇐㇚
稳	㇓㇐㇑㇓㇔㇓㇇㇕㇐㇐㇔㇂㇔㇔
期	㇐㇑㇑㇐㇐㇐㇓㇔㇓㇆㇐㇐
话	㇔㇊㇓㇐㇑㇑㇕㇐
廊	㇔㇐㇓㇔㇕㇐㇐㇙㇔㇡㇑
怪	㇔㇔㇑㇇㇏㇐㇑㇐
放	㇔㇐㇆㇓㇓㇐㇓㇏
具	㇑㇕㇐㇐㇐㇐㇓㇔
六	㇔㇐㇓㇔
础	㇐㇓㇑㇕㇐㇗㇑㇑㇗㇑
湿	㇔㇔㇀㇑㇕㇐㇐㇑㇑㇔㇓㇐
遥	㇓㇔㇔㇓㇓㇐㇐㇑㇗㇑㇔㇋㇏
控	㇐㇚㇀㇔㇔㇇㇓㇔㇐㇑㇐
解	㇓㇇㇓㇆㇐㇐㇑㇆㇓㇓㇐㇐㇑
释	㇓㇔㇓㇐㇑㇓㇔㇇㇏㇐㇐㇑
顶	㇐㇚㇐㇓㇑㇕㇓㇔
完	㇔㇔㇇㇐㇐㇓㇟
墙	㇐㇑㇀㇐㇑㇔㇓㇐㇑㇕㇑㇕㇐㇐
脑	㇓㇆㇐㇐㇔㇐㇓㇔㇗㇑
袋	㇓㇑㇐㇂㇔㇔㇐㇓㇙㇓㇏
李	㇐㇑㇓㇏㇇㇚㇐
叶	㇑㇕㇐㇐㇑
彭	㇐㇑㇐㇑㇕㇐㇔㇓㇀㇓㇓㇓
丹	㇓㇆㇔㇐
苏	㇐㇑㇑㇆㇓㇔㇔
杏	㇐㇑㇓㇏㇑㇕㇐
芝	㇐㇑㇑㇔㇇㇏
专	㇐㇐ㄣ㇔
软	㇐㇜㇑㇀㇓㇇㇓㇏
湾	㇔㇔㇀㇔㇐㇑㇑㇓㇔㇕㇐㇉
某	㇐㇑㇑㇐㇐㇐㇑㇓㇏
断	㇔㇓㇐㇑㇓㇔㇗㇓㇓㇐㇑
询	㇔㇊㇓㇆㇑㇕㇐㇐
馈	㇓㇇㇙㇑㇕㇐㇑㇐㇑㇕㇓㇔
瑜	㇐㇐㇑㇀㇓㇏㇐㇑㇆㇐㇐㇑㇚
伽	㇓㇑㇆㇓㇑㇕㇐
除	㇡㇑㇓㇏㇐㇐㇚㇓㇔
制	㇓㇐㇐㇑㇆㇑㇑㇚
乎	㇓㇔㇓㇐㇚
料	㇔㇓㇐㇑㇓㇔㇔㇔㇐㇑
拾	㇐㇚㇀㇓㇏㇐㇑㇕㇐
榻	㇐㇑㇓㇔㇑㇕㇐㇐㇆㇔㇀㇆㇔㇀
惊	㇔㇔㇑㇔㇐㇑㇕㇐㇚㇓㇔
喜	㇐㇑㇐㇑㇕㇐㇔㇓㇐㇑㇕㇐
欣	㇓㇓㇐㇑㇓㇇㇓㇏
月	㇓㇆㇐㇐
姑	㇛㇓㇐㇐㇑㇑㇕㇐
贴	㇑㇕㇓㇔㇑㇐㇑㇕㇐
瓶	㇔㇓㇐㇐㇓㇑㇐㇙㇈㇔
属	㇕㇐㇓㇓㇑㇕㇐㇑㇆㇑㇀㇔
乱	㇓㇐㇑㇑㇕㇐㇟
团	㇑㇕㇐㇚㇓㇐
队	㇡㇑㇓㇏
午	㇓㇐㇐㇑
催	㇓㇑㇑㇗㇑㇓㇑㇔㇐㇐㇐㇑㇐
类	㇔㇓㇐㇑㇓㇔㇐㇓㇏
冷	㇔㇀㇓㇏㇔㇇㇔
途	㇓㇏㇐㇐㇚㇓㇔㇔㇋㇏
宿	㇔㇔㇇㇓㇑㇐㇓㇑㇕㇐㇐
益	㇔㇓㇐㇓㇔㇑㇕㇑㇑㇐
仅	㇓㇑㇇㇏
哎	㇑㇕㇐㇐㇑㇑㇓㇏
哟	㇑㇕㇐㇜㇜㇀㇓㇆㇔
杨	㇐㇑㇓㇔㇡㇓㇓
陆	㇡㇑㇐㇐㇑㇗㇑
白	㇓㇑㇕㇐㇐
弄	㇐㇐㇑㇐㇐㇓㇑
嘉	㇐㇑㇐㇑㇕㇐㇔㇓㇐㇆㇓㇑㇕㇐
奖	㇔㇀㇑㇓㇇㇔㇐㇓㇏
爷	㇓㇔㇓㇏㇆㇑
球	㇐㇐㇑㇀㇐㇚㇔㇀㇓㇏㇔
灵	㇕㇐㇐㇔㇓㇓㇏
活	㇔㇔㇀㇓㇐㇑㇑㇕㇐
雨	㇐㇑㇆㇑㇔㇔㇔㇔
伞	㇓㇏㇔㇓㇐㇑
借	㇓㇑㇐㇑㇑㇐㇑㇕㇐㇐
浪	㇔㇔㇀㇔㇕㇐㇐㇙㇓㇏
惠	㇐㇑㇕㇐㇐㇑㇐㇔㇔㇂㇔㇔
表	㇐㇐㇑㇐㇓㇙㇓㇏
扬	㇐㇚㇀㇡㇓㇓
璐	㇐㇐㇑㇀㇑㇕㇐㇑㇐㇑㇀㇓㇇㇏㇑㇕㇐
姐	㇛㇓㇐㇑㇕㇐㇐㇐
卧	㇐㇑㇕㇐㇑㇗㇑㇔
风	㇓㇈㇓㇔
考	㇐㇑㇐㇓㇐㇉
虑	㇑㇐㇇㇓㇐㇟㇔㇂㇔㇔
凌	㇔㇀㇐㇑㇐㇓㇔㇓㇇㇏
丰	㇐㇐㇐㇑
培	㇐㇑㇀㇔㇐㇔㇓㇐㇑㇕㇐
训	㇔㇊㇓㇑㇑
范	㇐㇑㇑㇔㇔㇀㇆㇟
围	㇑㇕㇐㇐㇆㇑㇐
哦	㇑㇕㇐㇓㇐㇚㇀㇂㇓㇔
欢	㇇㇔㇓㇇㇓㇏
迎	㇓㇙㇆㇑㇔㇋㇏
哒	㇑㇕㇐㇐㇓㇔㇔㇋㇏
端	㇔㇐㇔㇓㇀㇑㇗㇑㇐㇓㇑㇆㇑㇑
毫	㇔㇐㇑㇕㇐㇔㇇㇓㇐㇐㇟
杂	㇓㇈㇐㇚㇓㇔
证	㇔㇊㇐㇑㇐㇑㇐
眠	㇑㇕㇐㇐㇐㇕㇐㇙㇐㇂
昨	㇑㇕㇐㇐㇓㇐㇑㇐㇐
立	㇔㇐㇔㇓㇐
刻	㇔㇐㇜㇓㇓㇔㇑㇚
予	㇇㇔㇇㇚
象	㇓㇇㇑㇕㇐㇓㇁㇓㇓㇓㇏
深	㇔㇔㇀㇔㇇㇓㇔㇐㇑㇓㇏
容	㇔㇔㇇㇓㇔㇓㇏㇑㇕㇐
念	㇓㇏㇔㇇㇔㇂㇔㇔
殊	㇐㇓㇇㇔㇓㇐㇐㇑㇓㇏
担	㇐㇚㇀㇑㇕㇐㇐㇐
操	㇐㇚㇀㇑㇕㇐㇑㇕㇐㇑㇕㇐㇐㇑㇓㇏
呢	㇑㇕㇐㇕㇐㇓㇓㇟
留	㇓㇙㇔㇆㇓㇑㇕㇐㇑㇐
邮	㇑㇕㇐㇑㇐㇡㇑
寄	㇔㇔㇇㇐㇓㇔㇐㇑㇕㇐㇚
码	㇐㇓㇑㇕㇐㇕㇉㇐
联	㇐㇑㇑㇐㇐㇀㇔㇓㇐㇐㇓㇏
糟	㇔㇓㇐㇑㇓㇔㇐㇑㇕㇐㇑㇑㇐㇑㇕㇐㇐
糕	㇔㇓㇐㇑㇓㇔㇔㇓㇐㇐㇑㇐㇔㇔㇔㇔
必	㇔㇂㇔㇓㇔
挡	㇐㇚㇀㇑㇔㇓㇕㇐㇐
抵	㇐㇚㇀㇓㇙㇐㇂㇔
压	㇐㇓㇐㇑㇐㇔
冲	㇔㇀㇑㇕㇐㇑
识	㇔㇊㇑㇕㇐㇓㇔
怎	㇓㇐㇑㇐㇐㇔㇂㇔㇔
喻	㇑㇕㇐㇓㇏㇐㇑㇆㇐㇐㇑㇚
油	㇔㇔㇀㇑㇕㇐㇑㇐
防	㇡㇑㇔㇐㇆㇓
滑	㇔㇔㇀㇑㇕㇕㇔㇇㇑㇆㇐㇐
堵	㇐㇑㇀㇐㇑㇐㇓㇑㇕㇐㇐
疑	㇓㇟㇓㇐㇐㇓㇔㇇㇔㇇㇑㇐㇓㇏
谈	㇔㇊㇔㇓㇓㇔㇔㇓㇓㇏
钻	㇓㇐㇐㇐㇙㇑㇐㇑㇕㇐
插	㇐㇚㇀㇓㇐㇑㇓㇑㇐㇕㇐㇐
座	㇔㇐㇓㇓㇔㇓㇔㇐㇑㇐
桌	㇑㇐㇑㇕㇐㇐㇐㇑㇓㇏
咋	㇑㇕㇐㇓㇐㇑㇐㇐
经	㇜㇜㇀㇇㇔㇐㇑㇐
恶	㇐㇑㇑㇔㇓㇐㇔㇂㇔㇔
束	㇐㇑㇕㇐㇑㇓㇏
扯	㇐㇚㇀㇑㇐㇑㇐
淡	㇔㇔㇀㇔㇓㇓㇔㇔㇓㇓㇏
混	㇔㇔㇀㇑㇕㇐㇐㇐㇙㇓㇟
复	㇓㇐㇑㇕㇐㇐㇓㇇㇏
构	㇐㇑㇓㇔㇓㇆㇜㇔
温	㇔㇔㇀㇑㇕㇐㇐㇑㇕㇑㇑㇐
馨	㇐㇑㇐㇕㇑㇐㇓㇓㇅㇇㇔㇓㇐㇑㇓㇏㇑㇕㇐㇐
柜	㇐㇑㇓㇔㇐㇕㇐㇗
纳	㇜㇜㇀㇑㇆㇓㇔
做	㇓㇑㇐㇑㇑㇕㇐㇓㇐㇓㇏
剧	㇕㇐㇓㇐㇑㇑㇕㇐㇑㇚
愿	㇐㇓㇓㇑㇕㇐㇐㇚㇓㇔㇔㇂㇔㇔
啦	㇑㇕㇐㇐㇚㇀㇔㇐㇔㇓㇐
挨	㇐㇚㇀㇜㇔㇓㇐㇐㇓㇏
困	㇑㇕㇐㇑㇓㇔㇐
惑	㇐㇑㇕㇐㇀㇂㇓㇔㇔㇂㇔㇔
忍	㇆㇓㇔㇔㇂㇔㇔
怜	㇔㇔㇑㇓㇏㇔㇇㇔
磕	㇐㇓㇑㇕㇐㇐㇑㇐㇜㇔㇑㇕㇑㇑㇐
俩	㇓㇑㇐㇑㇆㇓㇔㇓㇔
转	㇐㇜㇑㇀㇐㇐ㄣ㇔
细	㇜㇜㇀㇑㇕㇐㇑㇐
节	㇐㇑㇑㇆㇑
动	㇐㇐㇜㇔㇆㇓
变	㇔㇐㇑㇑㇓㇔㇇㇏
触	㇓㇇㇓㇆㇐㇐㇑㇑㇕㇐㇑㇐㇔
南	㇐㇑㇑㇆㇔㇓㇐㇐㇑
圆	㇑㇕㇑㇕㇐㇑㇕㇓㇔㇐
园	㇑㇕㇐㇐㇓㇟㇐
茶	㇐㇑㇑㇓㇏㇐㇚㇓㇔
形	㇐㇐㇓㇑㇓㇓㇓
功	㇐㇑㇀㇆㇓
轻	㇐㇜㇑㇀㇇㇔㇐㇑㇐
侧	㇓㇑㇑㇕㇓㇔㇑㇚
彻	㇓㇓㇑㇐㇙㇆㇓
顾	㇐㇓㇆㇙㇐㇓㇑㇕㇓㇔
它	㇔㇔㇇㇓㇟
支	㇐㇑㇇㇏
酸	㇐㇑㇕㇓㇗㇐㇐㇜㇔㇓㇔㇓㇇㇏
奶	㇛㇓㇐㇡㇓
乐	㇓㇗㇚㇓㇔
雀	㇑㇓㇔㇓㇑㇔㇐㇐㇐㇑㇐
俱	㇓㇑㇑㇕㇐㇐㇐㇐㇓㇔
片	㇓㇑㇐㇕
删	㇓㇆㇓㇆㇐㇑㇚
狭	㇓㇁㇓㇐㇔㇓㇐㇓㇏
窄	㇔㇔㇇㇓㇔㇓㇐㇑㇐㇐
宁	㇔㇔㇇㇐㇚
捷	㇐㇚㇀㇐㇕㇐㇐㇑㇐㇓㇏
咳	㇑㇕㇐㇔㇐㇜㇓㇓㇔
嗽	㇑㇕㇐㇐㇑㇕㇐㇑㇓㇔㇓㇇㇓㇏
晰	㇑㇕㇐㇐㇐㇑㇓㇔㇓㇓㇐㇑
遮	㇔㇐㇓㇐㇑㇑㇐㇔㇔㇔㇔㇔㇋㇏
透	㇓㇐㇑㇓㇏㇡㇓㇔㇋㇏
屎	㇕㇐㇓㇔㇓㇐㇑㇓㇏
桶	㇐㇑㇓㇔㇇㇔㇑㇆㇐㇐㇑
涨	㇔㇔㇀㇕㇐㇉㇓㇐㇙㇏
黄	㇐㇑㇑㇐㇑㇕㇐㇑㇐㇓㇔
亲	㇔㇐㇔㇓㇐㇐㇚㇓㇔
吻	㇑㇕㇐㇓㇆㇓㇓
屁	㇕㇐㇓㇐㇙㇓㇟
